id,cid,pid,p,ap,v,ciso,u,dt,yoypc,seqpc
18315_220_13001_2HFY-2021,18315,220,2HFY-2021,2HFY-2021,,XXX,6,A,,
18315_219_13001_FY-2017,18315,219,FY-2017,FY-2017,,INR,1,A,,
18315_219_13001_3QFY-2028,18315,219,3QFY-2028,3QFY-2028,8.92920584680237,INR,1,E,-5.1815886739492,0.7825700043816509
18315_219_13001_1HFY-2023,18315,219,1HFY-2023,1HFY-2023,10.185651353052249,INR,1,A,1.6645728643216648,-25.681880797134564
18315_219_13001_3QFY-2026,18315,219,3QFY-2026,3QFY-2026,8.053391550937716,INR,1,E,65.02851538806796,8.894032689642815
18315_219_13001_4QFY-2020,18315,219,4QFY-2020,4QFY-2020,3.12,INR,1,A,-24.819277108433738,-19.37984496124031
18315_219_13001_2HFY-2020,18315,219,2HFY-2020,2HFY-2020,6.99,INR,1,A,,-22.9257975034674
18315_219_13001_1QFY-2026,18315,219,1QFY-2026,1QFY-2026,6.84,INR,1,A,21.49200710479574,156.17977528089887
18315_221_13001_2QFY-2026,18315,221,2QFY-2026,2QFY-2026,159187816.88996875,XXX,6,E,-0.2596804106995303,-0.08766126560963486
18315_221_13001_3QFY-2016,18315,221,3QFY-2016,3QFY-2016,,XXX,6,A,,
18315_221_13001_4QFY-2021,18315,221,4QFY-2021,4QFY-2021,158900000.0,XXX,6,A,0.0,0.0
18315_221_13001_3QFY-2020,18315,221,3QFY-2020,3QFY-2020,158900000.0,XXX,6,A,0.0,0.0
18315_221_13001_1QFY-2016,18315,221,1QFY-2016,1QFY-2016,,XXX,6,A,,
18315_221_13001_1HFY-2023,18315,221,1HFY-2023,1HFY-2023,159292730.8447937,XXX,6,A,0.22318818960456727,-0.10615015188966204
18315_221_13001_2QFY-2018,18315,221,2QFY-2018,2QFY-2018,158900000.0,XXX,6,A,,0.0
18315_221_13001_FY-2018,18315,221,FY-2018,FY-2018,159000000.0,XXX,6,A,,
18315_221_13001_FY-2028,18315,221,FY-2028,FY-2028,159194510.50039566,XXX,6,E,0.000000375520209055302,0.000000375520209055302
18315_5856_13001_2QFY-2026,18315,5856,2QFY-2026,2QFY-2026,-12595791.814113334,INR,1,E,0.820536896745403,64.81622398292365
18315_5856_13001_4QFY-2018,18315,5856,4QFY-2018,4QFY-2018,-36600000.0,INR,1,A,,-405.0
18315_5856_13001_2HFY-2021,18315,5856,2HFY-2021,2HFY-2021,-61700000.0,INR,1,A,-687.6190476190477,-215.97744360902254
